x,y,w0,w1,w2,w3
2.5499999430030584,5.939999867230654,0.0,0.0,0.0,1.0
2.5500012739855626,5.932781878309081,0.0,0.0,0.0,1.0
2.5500051795997787,5.925542484961142,0.0,0.0,0.0,1.0
2.5500115278576985,5.918281926829934,0.0,0.0,0.0,1.0
2.5500201854861304,5.9110004444098445,0.0,0.0,0.0,1.0
2.5500310179666226,5.903698279017108,0.0,0.0,0.0,1.0
2.5500438895749244,5.896375672760851,0.0,0.0,0.0,1.0
2.5500586634200446,5.8890328685141755,0.0,0.0,0.0,1.0
2.550075201482792,5.881670109885678,0.0,0.0,0.0,1.0
2.550093364653991,5.874287641191183,0.0,0.0,0.0,1.0
2.5501130127721408,5.866885707425798,0.0,0.0,0.0,1.0
2.550134004660818,5.859464554236186,0.0,0.0,0.0,1.0
2.5501561981654706,5.852024427893202,0.0,0.0,0.0,1.0
2.550179450189929,5.8445655752646655,0.0,0.0,0.0,1.0
2.550203616732451,5.837088243788588,0.0,0.0,0.0,1.0
2.550228552921298,5.8295926814465036,0.0,0.0,0.0,1.0
2.550254113050047,5.822079136737177,0.0,0.0,0.0,1.0
2.550280150612317,5.814547858650527,0.0,0.0,0.0,1.0
2.5503065183362246,5.80699909664183,0.0,0.0,0.0,1.0
2.550333068218366,5.799433100606233,0.0,0.0,0.0,1.0
2.550359651557444,5.79185012085341,0.0,0.0,0.0,1.0
2.550386118987471,5.784250408082677,0.0,0.0,0.0,1.0
2.5504123205105684,5.776634213358165,0.0,0.0,0.0,1.0
2.550438105529403,5.769001788084373,0.0,0.0,0.0,1.0
2.550463322879261,5.76135338398199,0.0,0.0,0.0,1.0
2.5504878208596686,5.753689253063869,0.0,0.0,0.0,1.0
2.550511447265671,5.746009647611382,0.0,0.0,0.0,1.0
2.5505340494187076,5.738314820150967,0.0,0.0,0.0,1.0
2.5505554741971896,5.730605023430919,0.0,0.0,0.0,1.0
2.550575568066625,5.722880510398457,0.0,0.0,0.0,1.0
2.550594177109348,5.71514153417707,0.0,0.0,0.0,1.0
2.550611147053998,5.70738834804402,0.0,0.0,0.0,1.0
2.5506263233045328,5.699621205408251,0.0,0.0,0.0,1.0
2.550639550968898,5.691840359788326,0.0,0.0,0.0,1.0
2.550650674887413,5.684046064790853,0.0,0.0,0.0,1.0
2.5506595396606686,5.67623857408895,0.0,0.0,0.0,1.0
2.550665989677183,5.668418141401114,0.0,0.0,0.0,1.0
2.55066986914068,5.660585020470216,0.0,0.0,0.0,1.0
2.550671022096947,5.652739465042754,0.0,0.0,0.0,1.0
2.550669292460475,5.644881728848455,0.0,0.0,0.0,1.0
2.5506645240406964,5.637012065579971,0.0,0.0,0.0,1.0
2.550656560567766,5.629130728872887,0.0,0.0,0.0,1.0
2.5506452457182385,5.6212379722859644,0.0,0.0,0.0,1.0
2.5506304231402375,5.613334049281583,0.0,0.0,0.0,1.0
2.550611936478326,5.605419213206459,0.0,0.0,0.0,1.0
2.550589629398089,5.5974937172726085,0.0,0.0,0.0,1.0
2.5505633456103523,5.589557814538433,0.0,0.0,0.0,1.0
2.5505329288950986,5.581611757890163,0.0,0.0,0.0,1.0
2.5504982231250137,5.573655800023475,0.0,0.0,0.0,1.0
2.55045907228881,5.565690193425305,0.0,0.0,0.0,1.0
2.550415320514143,5.557715190355974,0.0,0.0,0.0,1.0
2.550366812090234,5.54973104283144,0.0,0.0,0.0,1.0
2.550313391490212,5.541738002605801,0.0,0.0,0.0,1.0
2.550254903393117,5.533736321154109,0.0,0.0,0.0,1.0
2.55019119270562,5.525726249655269,0.0,0.0,0.0,1.0
2.5501221045834064,5.5177080389752104,0.0,0.0,0.0,1.0
2.550047484452304,5.509681939650316,0.0,0.0,0.0,1.0
2.5499671780290285,5.50164820187104,0.0,0.0,0.0,1.0
2.549881031341747,5.493607075465708,0.0,0.0,0.0,1.0
2.549788890750273,5.485558809884563,0.0,0.0,0.0,1.0
2.5496906029659723,5.477503654184066,0.0,0.0,0.0,1.0
2.5495860150713865,5.4694418570112715,0.0,0.0,0.0,1.0
2.5494749745395633,5.4613736665885995,0.0,0.0,0.0,1.0
2.54935732925316,5.45329933069867,0.0,0.0,0.0,1.0
2.5492329275231627,5.445219096669384,0.0,0.0,0.0,1.0
2.5491016181074087,5.437133211359248,0.0,0.0,0.0,1.0
2.5489632502287987,5.429041921142878,0.0,0.0,0.0,1.0
2.548817673593176,5.420945471896701,0.0,0.0,0.0,1.0
2.548664738407121,5.412844108984843,0.0,0.0,0.0,1.0
2.5485042953951957,5.404738077245256,0.0,0.0,0.0,1.0
2.5483361958171695,5.396627620976057,0.0,0.0,0.0,1.0
2.548160291484804,5.388512983921977,0.0,0.0,0.0,1.0
2.5479764347785316,5.380394409261116,0.0,0.0,0.0,1.0
2.547784478663709,5.372272139591813,0.0,0.0,0.0,1.0
2.547584276706691,5.364146416919768,0.0,0.0,0.0,1.0
2.547375683090694,5.3560174826453055,0.0,0.0,0.0,1.0
2.547158552631322,5.347885577550895,0.0,0.0,0.0,1.0
2.546932740791853,5.33975094178878,0.0,0.0,0.0,1.0
2.5466981036982936,5.331613814868884,0.0,0.0,0.0,1.0
2.5464544981542216,5.323474435646815,0.0,0.0,0.0,1.0
2.5462017816552733,5.315333042312154,0.0,0.0,0.0,1.0
2.5459398124035117,5.307189872376833,0.0,0.0,0.0,1.0
2.545668449321441,5.299045162663806,0.0,0.0,0.0,1.0
2.5453875520658964,5.290899149295769,0.0,0.0,0.0,1.0
2.5450969810415156,5.282752067684182,0.0,0.0,0.0,1.0
2.5447965974142583,5.274604152518421,0.0,0.0,0.0,1.0
2.5444862631243397,5.266455637755126,0.0,0.0,0.0,1.0
2.544165840899217,5.258306756607672,0.0,0.0,0.0,1.0
2.543835194266223,5.2501577415359,0.0,0.0,0.0,1.0
2.543494187564989,5.242008824235998,0.0,0.0,0.0,1.0
2.5431426859596025,5.233860235630491,0.0,0.0,0.0,1.0
2.5427805554506118,5.225712205858517,0.0,0.0,0.0,1.0
2.5424076628867875,5.21756496426619,0.0,0.0,0.0,1.0
2.542023875976572,5.209418739397154,0.0,0.0,0.0,1.0
2.5416290632995016,5.201273758983333,0.0,0.0,0.0,1.0
2.541223094317206,5.1931302499358285,0.0,0.0,0.0,1.0
2.540805839384299,5.184988438335989,0.0,0.0,0.0,1.0
2.540377169759055,5.176848549426619,0.0,0.0,0.0,1.0
2.5399369576138726,5.168710807603412,0.0,0.0,0.0,1.0
2.5394850760455125,5.1605754364065115,0.0,0.0,0.0,1.0
2.5390213990850645,5.152442658512231,0.0,0.0,0.0,1.0
2.5385458017078846,5.144312695724944,0.0,0.0,0.0,1.0
2.5380581598431387,5.136185768969118,0.0,0.0,0.0,1.0
2.5375583503832373,5.12806209828156,0.0,0.0,0.0,1.0
2.53704625119311,5.1199419028037205,0.0,0.0,0.0,1.0
2.536521741119143,5.111825400774317,0.0,0.0,0.0,1.0
2.5359846999981017,5.103712809521927,0.0,0.0,0.0,1.0
2.535435008665661,5.0956043454578435,0.0,0.0,0.0,1.0
2.534872548964957,5.0875002240691005,0.0,0.0,0.0,1.0
2.5342972037547344,5.079400659911556,0.0,0.0,0.0,1.0
2.533708856917451,5.071305866603219,0.0,0.0,0.0,1.0
