x,y,w0,w1,w2,w3,arm,hand1,hand2
1.6799999624490738,-4.379999902099371,0.0,0.0,0.0,1.0,2,0,0
1.6828783416653696,-4.380004404501072,0.0,0.0,0.0,1.0,2,0,0
1.6857477352827053,-4.380017885324254,0.0,0.0,0.0,1.0,2,0,0
1.6886081756198923,-4.380040305141741,0.0,0.0,0.0,1.0,2,0,0
1.6914596948769922,-4.380071624720131,0.0,0.0,0.0,1.0,2,0,0
1.694302325135534,-4.380111805019036,0.0,0.0,0.0,1.0,2,0,0
1.6971360983588486,-4.380160807190417,0.0,0.0,0.0,1.0,2,0,0
1.6999610463922807,-4.380218592577824,0.0,0.0,0.0,1.0,2,0,0
1.702777200963434,-4.380285122715741,0.0,0.0,0.0,1.0,2,0,0
1.7055845936824923,-4.380360359328817,0.0,0.0,0.0,1.0,2,0,0
1.7083832560424295,-4.38044426433122,0.0,0.0,0.0,1.0,2,0,0
1.7111732194192437,-4.380536799825879,0.0,0.0,0.0,1.0,2,0,0
1.713954515072276,-4.380637928103821,0.0,0.0,0.0,1.0,2,0,0
1.7167271741444774,-4.380747611643453,0.0,0.0,0.0,1.0,2,0,0
1.7194912276625656,-4.380865813109845,0.0,0.0,0.0,1.0,2,0,0
1.7222467065374134,-4.3809924953540405,0.0,0.0,0.0,1.0,2,0,0
1.7249936415641927,-4.381127621412392,0.0,0.0,0.0,1.0,2,0,0
1.7277320634227076,-4.381271154505807,0.0,0.0,0.0,1.0,2,0,0
1.7304620026776274,-4.381423058039076,0.0,0.0,0.0,1.0,2,0,0
1.7331834897787317,-4.381583295600193,0.0,0.0,0.0,1.0,2,0,0
1.7358965550611836,-4.381751830959648,0.0,0.0,0.0,1.0,2,0,0
1.7386012287457746,-4.381928628069711,0.0,0.0,0.0,1.0,2,0,0
1.7412975409391975,-4.382113651063804,0.0,0.0,0.0,1.0,2,0,0
1.7439855216342866,-4.382306864255741,0.0,0.0,0.0,1.0,2,0,0
1.7466652007102677,-4.382508232139083,0.0,0.0,0.0,1.0,2,0,0
1.7493366079330326,-4.382717719386434,0.0,0.0,0.0,1.0,2,0,0
1.7519997729553984,-4.382935290848765,0.0,0.0,0.0,1.0,2,0,0
1.7546547253173113,-4.383160911554731,0.0,0.0,0.0,1.0,2,0,0
1.7573014944461876,-4.38339454670997,0.0,0.0,0.0,1.0,2,0,0
1.7599401096570917,-4.383636161696438,0.0,0.0,0.0,1.0,2,0,0
1.7625706001530366,-4.383885722071712,0.0,0.0,0.0,1.0,2,0,0
1.7651929950252143,-4.384143193568354,0.0,0.0,0.0,1.0,2,0,0
1.7678073232532494,-4.38440854209316,0.0,0.0,0.0,1.0,2,0,0
1.7704136137054858,-4.384681733726555,0.0,0.0,0.0,1.0,2,0,0
1.773011895139183,-4.384962734721866,0.0,0.0,0.0,1.0,2,0,0
1.7756021962008317,-4.385251511504699,0.0,0.0,0.0,1.0,2,0,0
1.7781845454263436,-4.385548030672205,0.0,0.0,0.0,1.0,2,0,0
1.780758971241393,-4.3858522589924585,0.0,0.0,0.0,1.0,2,0,0
1.7833255019615526,-4.386164163403756,0.0,0.0,0.0,1.0,2,0,0
1.785884165792663,-4.38648371101397,0.0,0.0,0.0,1.0,2,0,0
1.7884349908309747,-4.386810869099882,0.0,0.0,0.0,1.0,2,0,0
1.7909780050635173,-4.3871456051064746,0.0,0.0,0.0,1.0,2,0,0
1.7935132363682285,-4.3874878866463405,0.0,0.0,0.0,1.0,2,0,0
1.7960407125143227,-4.387837681498935,0.0,0.0,0.0,1.0,2,0,0
1.7985604611624486,-4.388194957609983,0.0,0.0,0.0,1.0,2,0,0
1.8010725098650013,-4.388559683090779,0.0,0.0,0.0,1.0,2,0,0
1.8035768860663561,-4.388931826217543,0.0,0.0,0.0,1.0,2,0,0
1.8060736171030647,-4.389311355430749,0.0,0.0,0.0,1.0,2,0,0
1.808562730204218,-4.389698239334502,0.0,0.0,0.0,1.0,2,0,0
1.811044252491602,-4.390092446695817,0.0,0.0,0.0,1.0,2,0,0
1.8135182109799852,-4.390493946444051,0.0,0.0,0.0,1.0,2,0,0
1.8159846325773634,-4.390902707670163,0.0,0.0,0.0,1.0,2,0,0
1.8184435440852194,-4.391318699626127,0.0,0.0,0.0,1.0,2,0,0
1.8208949721987406,-4.391741891724247,0.0,0.0,0.0,1.0,2,0,0
1.8233389435071,-4.392172253536523,0.0,0.0,0.0,1.0,2,0,0
1.8257754844937137,-4.392609754793999,0.0,0.0,0.0,1.0,2,0,0
1.82820462153644,-4.393054365386105,0.0,0.0,0.0,1.0,2,0,0
1.830626380907886,-4.393506055360035,0.0,0.0,0.0,1.0,2,0,0
1.833040788775612,-4.393964794920085,0.0,0.0,0.0,1.0,2,0,0
1.8354478712024112,-4.394430554427013,0.0,0.0,0.0,1.0,2,0,0
1.8378476541465216,-4.394903304397408,0.0,0.0,0.0,1.0,2,0,0
1.8402401634619325,-4.395383015503027,0.0,0.0,0.0,1.0,2,0,0
1.8426254248985756,-4.395869658570197,0.0,0.0,0.0,1.0,2,0,0
1.8450034641025708,-4.396363204579114,0.0,0.0,0.0,1.0,2,0,0
1.8473743066165325,-4.396863624663274,0.0,0.0,0.0,1.0,2,0,0
1.8497379778797616,-4.397370890108807,0.0,0.0,0.0,1.0,2,0,0
1.8520945032284835,-4.397884972353828,0.0,0.0,0.0,1.0,2,0,0
1.8544439078961754,-4.3984058429878425,0.0,0.0,0.0,1.0,2,0,0
1.8567862170137241,-4.398933473751076,0.0,0.0,0.0,1.0,2,0,0
1.859121455609718,-4.399467836533868,0.0,0.0,0.0,1.0,2,0,0
1.861449648610653,-4.400008903376059,0.0,0.0,0.0,1.0,2,0,0
1.8637708208412458,-4.400556646466303,0.0,0.0,0.0,1.0,2,0,0
1.8660849970246105,-4.401111038141518,0.0,0.0,0.0,1.0,2,0,0
1.8683922017825327,-4.401672050886216,0.0,0.0,0.0,1.0,2,0,0
1.8706924596357486,-4.402239657331868,0.0,0.0,0.0,1.0,2,0,0
1.872985795004122,-4.402813830256336,0.0,0.0,0.0,1.0,2,0,0
1.8752722322069177,-4.403394542583201,0.0,0.0,0.0,1.0,2,0,0
1.877551795463074,-4.4039817673811585,0.0,0.0,0.0,1.0,2,0,0
